Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,donor_animal,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,TISSUE,day_post_infection,mdck_spike_in,hours_post_innoculation,seqwell_array_replicate,TREATMENT
SRR12698509,OTHER,108,29581408008,PRJNA665230,SAMN16246659,9886203766,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",NHP1,SRX9178107,GSM4800315,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:36:00Z,1,GSM4800315,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a3,live
SRR12698510,OTHER,108,33566866344,PRJNA665230,SAMN16246658,11247549167,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",NHP1,SRX9178108,GSM4800316,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:40:00Z,1,GSM4800316,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a4,live
SRR12698511,OTHER,108,25185624732,PRJNA665230,SAMN16246690,8414833850,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",NHP2,SRX9178109,GSM4800317,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:07:00Z,1,GSM4800317,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,irrad
SRR12698512,OTHER,108,29723119560,PRJNA665230,SAMN16246689,9852333678,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",NHP2,SRX9178110,GSM4800318,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:54:00Z,1,GSM4800318,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,live
SRR12698513,OTHER,108,32611165272,PRJNA665230,SAMN16246688,10725526468,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NHP2,SRX9178111,GSM4800319,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:55:00Z,1,GSM4800319,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a1,media
SRR12698514,OTHER,108,25915701924,PRJNA665230,SAMN16246687,8604852572,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178112,GSM4800320,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:18:00Z,1,GSM4800320,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a2,live
SRR12698515,OTHER,108,33202300788,PRJNA665230,SAMN16246686,11055075316,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",NHP2,SRX9178113,GSM4800321,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:48:00Z,1,GSM4800321,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a3,live
SRR12698516,OTHER,108,32616015444,PRJNA665230,SAMN16246685,10904778351,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178114,GSM4800322,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:50:00Z,1,GSM4800322,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,4,a4,live
SRR12698517,OTHER,108,21472112448,PRJNA665230,SAMN16246684,7007869519,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178115,GSM4800323,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:27:00Z,1,GSM4800323,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,irrad
SRR12698518,OTHER,108,30310104528,PRJNA665230,SAMN16246683,9934965718,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NHP2,SRX9178116,GSM4800324,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:30:00Z,1,GSM4800324,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,live
SRR12698519,OTHER,108,33938581716,PRJNA665230,SAMN16246682,11253429277,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178117,GSM4800325,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:54:00Z,1,GSM4800325,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a1,media
SRR12698520,OTHER,108,29547142308,PRJNA665230,SAMN16246681,9708174448,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",NHP2,SRX9178118,GSM4800326,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:03:00Z,1,GSM4800326,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a2,live
SRR12698521,OTHER,108,30030107184,PRJNA665230,SAMN16246680,9792347778,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178119,GSM4800327,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:43:00Z,1,GSM4800327,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a3,live
SRR12698522,OTHER,108,27488809728,PRJNA665230,SAMN16246679,9035718544,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NHP2,SRX9178120,GSM4800328,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:30:00Z,1,GSM4800328,Peripheral blood mononuclear cells (PBMC),SRP285115,Peripheral blood mononuclear cells (PBMC),,,24,a4,live
SRR12698523,OTHER,108,27597871476,PRJNA665231,SAMN16246678,9486252265,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",NHP19,SRX9178121,GSM4800330,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:23:00Z,1,GSM4800330,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),4,FALSE,,,
SRR12698524,OTHER,108,32584777092,PRJNA665231,SAMN16246677,11193184834,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",NHP22,SRX9178122,GSM4800331,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T18:02:00Z,1,GSM4800331,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,FALSE,,,
SRR12698525,OTHER,108,38885265000,PRJNA665231,SAMN16246676,13483045745,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",NHP23,SRX9178123,GSM4800332,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:12:00Z,1,GSM4800332,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,FALSE,,,
SRR12698526,OTHER,108,13297607028,PRJNA665231,SAMN16246675,4666606209,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP14,SRX9178124,GSM4800333,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:19:00Z,1,GSM4800333,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698527,OTHER,108,12619910808,PRJNA665231,SAMN16246674,4426224261,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",NHP16,SRX9178125,GSM4800334,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:15:00Z,1,GSM4800334,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698528,OTHER,108,13226963904,PRJNA665231,SAMN16246705,4740716543,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",NHP17,SRX9178126,GSM4800335,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:19:00Z,1,GSM4800335,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698529,OTHER,108,13744679724,PRJNA665231,SAMN16246704,4910307891,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",NHP19,SRX9178127,GSM4800336,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:25:00Z,1,GSM4800336,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),4,FALSE,,,
SRR12698530,OTHER,108,22542365016,PRJNA665231,SAMN16246703,8083807317,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",NHPC1,SRX9178128,GSM4800337,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:40:00Z,1,GSM4800337,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698531,OTHER,108,17963532432,PRJNA665231,SAMN16246702,6329315425,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",NHP15,SRX9178129,GSM4800338,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:45:00Z,1,GSM4800338,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698532,OTHER,108,22445535024,PRJNA665231,SAMN16246701,7742513370,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",NHP20,SRX9178130,GSM4800339,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:22:00Z,1,GSM4800339,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),-30,FALSE,,,
SRR12698533,OTHER,108,26634892500,PRJNA665231,SAMN16246700,9398126070,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",NHP11,SRX9178131,GSM4800340,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:18:00Z,1,GSM4800340,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),-4,FALSE,,,
SRR12698534,OTHER,108,14678479908,PRJNA665231,SAMN16246699,5112300418,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP23,SRX9178132,GSM4800341,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:08:00Z,1,GSM4800341,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),-30,FALSE,,,
SRR12698535,OTHER,108,24166902852,PRJNA665231,SAMN16246698,8471036146,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NHP09,SRX9178133,GSM4800342,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:52:00Z,1,GSM4800342,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),-4,FALSE,,,
SRR12698536,OTHER,108,21499171308,PRJNA665231,SAMN16246697,7760938789,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",NHP10,SRX9178134,GSM4800343,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:58:00Z,1,GSM4800343,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),-4,FALSE,,,
SRR12698537,OTHER,108,42055952976,PRJNA665231,SAMN16246696,15103648497,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",NHP14,SRX9178135,GSM4800344,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:17:00Z,1,GSM4800344,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698538,OTHER,108,37845713916,PRJNA665231,SAMN16246695,13406541620,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",NHP16,SRX9178136,GSM4800345,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T17:10:00Z,1,GSM4800345,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),0,FALSE,,,
SRR12698539,OTHER,108,49778459496,PRJNA665231,SAMN16246694,18199823926,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",NHP12,SRX9178137,GSM4800346,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T18:43:00Z,1,GSM4800346,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),8,FALSE,,,
SRR12698540,OTHER,108,31720270356,PRJNA665231,SAMN16246693,11730883196,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",NHP09,SRX9178138,GSM4800347,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:40:00Z,1,GSM4800347,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),8,FALSE,,,
SRR12698541,OTHER,108,51774819840,PRJNA665231,SAMN16246692,18736231784,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP08,SRX9178139,GSM4800348,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T18:48:00Z,1,GSM4800348,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,FALSE,,,
SRR12698542,OTHER,108,25747837416,PRJNA665231,SAMN16246691,8720500322,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP13,SRX9178140,GSM4800349,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:59:00Z,1,GSM4800349,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,TRUE,,,
SRR12698543,OTHER,108,29954820168,PRJNA665231,SAMN16246720,10321350379,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",NHP13,SRX9178141,GSM4800350,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T18:31:00Z,1,GSM4800350,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,TRUE,,,
SRR12698544,OTHER,108,31072001004,PRJNA665231,SAMN16246719,10454926051,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP13,SRX9178142,GSM4800351,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T16:50:00Z,1,GSM4800351,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,TRUE,,,
SRR12698545,OTHER,108,25269381648,PRJNA665231,SAMN16246718,8518641469,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",NHP13,SRX9178143,GSM4800352,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-24T02:25:00Z,1,GSM4800352,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,FALSE,,,
SRR12698546,OTHER,108,23593935744,PRJNA665231,SAMN16246717,7864498760,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",NHP13,SRX9178144,GSM4800353,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-24T01:31:00Z,1,GSM4800353,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,FALSE,,,
SRR12698547,OTHER,108,22183119000,PRJNA665231,SAMN16246716,7418526152,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",NHP13,SRX9178145,GSM4800354,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:08:00Z,1,GSM4800354,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),3,FALSE,,,
SRR12698548,OTHER,108,23719351284,PRJNA665231,SAMN16246715,7866333383,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",NHP24,SRX9178146,GSM4800355,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:17:00Z,1,GSM4800355,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,TRUE,,,
SRR12698549,OTHER,108,26868288168,PRJNA665231,SAMN16246714,9034739920,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",NHP24,SRX9178147,GSM4800356,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T15:10:00Z,1,GSM4800356,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,TRUE,,,
SRR12698550,OTHER,108,24660594180,PRJNA665231,SAMN16246713,8167456917,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",NHP24,SRX9178148,GSM4800357,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Macaca mulatta,ILLUMINA,2020-09-26T00:00:00Z,2020-09-23T14:57:00Z,1,GSM4800357,Peripheral blood mononuclear cells (PBMC),SRP285116,Peripheral blood mononuclear cells (PBMC),6,TRUE,,,
